0: Task 0: initiated in idle 
0: Task 1: initiated in idle 
0: Task 2: initiated in idle 
0: Task 4: initiated in idle 
0: Task 3: initiated in idle 
0: Task 0: idle -> running, total time worked: 0 
20: Task 1: idle -> running, total time worked: 0 
20: Task 0: running -> preempted, total time worked: 20 
40: Task 1: running -> preempted, total time worked: 20 
40: Task 2: idle -> running, total time worked: 0 
60: Task 3: idle -> running, total time worked: 0 
60: Task 2: running -> preempted, total time worked: 20 
80: Task 4: idle -> running, total time worked: 0 
80: Task 3: running -> preempted, total time worked: 20 
100: Task 4: running -> finished, total time worked: 20 
100: Task 0: preempted -> running, total time worked: 20 
110: Task 1: preempted -> running, total time worked: 20 
110: Task 0: running -> preempted, total time worked: 29 
120: Task 1: running -> preempted, total time worked: 30 
120: Task 2: preempted -> running, total time worked: 20 
130: Task 3: preempted -> running, total time worked: 20 
130: Task 2: running -> preempted, total time worked: 29 
140: Task 3: running -> preempted, total time worked: 30 
140: Task 0: preempted -> running, total time worked: 29 
150: Task 0: running -> preempted, total time worked: 39 
150: Task 2: preempted -> running, total time worked: 29 
160: Task 2: running -> preempted, total time worked: 39 
160: Task 1: preempted -> running, total time worked: 30 
170: Task 1: running -> preempted, total time worked: 40 
170: Task 3: preempted -> running, total time worked: 30 
180: Task 3: running -> preempted, total time worked: 40 
180: Task 0: preempted -> running, total time worked: 39 
190: Task 2: preempted -> running, total time worked: 39 
191: Task 2: running -> finished, total time worked: 40 
190: Task 0: running -> preempted, total time worked: 49 
191: Task 1: preempted -> running, total time worked: 40 
201: Task 1: running -> preempted, total time worked: 50 
201: Task 3: preempted -> running, total time worked: 40 
211: Task 3: running -> finished, total time worked: 50 
211: Task 0: preempted -> running, total time worked: 49 
221: Task 0: running -> preempted, total time worked: 59 
221: Task 1: preempted -> running, total time worked: 50 
231: Task 1: running -> finished, total time worked: 60 
231: Task 0: preempted -> running, total time worked: 59 
322: Task 0: running -> finished, total time worked: 150 
